Year,Origin_Country_Code,Origin_Country,Holiday_Leisure,Personal,Business,Visit_friend_family,total_trips
2017,CY,Cyprus,7452004.0,10059832.0,1116734.0,1896176.0,20524746.0
2017,CZ,Czechia,79746257.0,137652404.0,5606145.0,54295591.0,277300397.0
2017,DE,Germany,479234014.0,809184576.0,165123861.0,297508229.0,1751050680.0
2017,DK,Denmark,59300573.0,94633460.0,11430812.0,32584304.0,197949149.0
2017,EE,Estonia,8477716.0,15323709.0,2900910.0,6283558.0,32985893.0
2017,EL,Greece,16578576.0,23669204.0,1170301.0,5301328.0,46719409.0
2017,ES,Spain,319122353.0,578925777.0,31905468.0,227373500.0,1157327098.0
2017,FI,Finland,69114644.0,135990776.0,22143481.0,58415256.0,285664157.0
2017,FR,France,366495492.0,784694216.0,98405019.0,363912401.0,1613507128.0
2017,HR,Croatia,9551680.0,16230996.0,3368111.0,4590876.0,33741663.0
2017,HU,Hungary,41098444.0,71655756.0,2776208.0,28706312.0,144236720.0
2017,IE,Ireland,31555012.0,53518913.0,4706612.0,14823814.0,104604351.0
2017,IT,Italy,136398148.0,203179727.0,22505023.0,59781567.0,421864465.0
2017,LT,Lithuania,7495960.0,15153118.0,3086106.0,5806620.0,31541804.0
2017,LU,Luxembourg,5175513.0,7903305.0,1724110.0,2370506.0,17173434.0
2017,LV,Latvia,7025020.0,15876735.0,934594.0,8207985.0,32044334.0
2017,ME,Montenegro,2778133.0,5081544.0,614690.0,1987235.0,10461602.0
2017,MT,Malta,2468651.0,2753552.0,473856.0,152431.0,5848490.0
2017,NL,Netherlands,111146622.0,166181864.0,14024271.0,51707490.0,343060247.0
2017,NO,Norway,45053156.0,73496379.0,19574569.0,17852305.0,155976409.0
2017,PL,Poland,100782008.0,220707428.0,10934319.0,105619859.0,438043614.0
2017,PT,Portugal,31581840.0,64100034.0,5794256.0,29652337.0,131128467.0
2017,RO,Romania,29799732.0,69082940.0,2509735.0,36819891.0,138212298.0
2017,SE,Sweden,85736401.0,193210348.0,45383128.0,98252981.0,422582858.0
2017,SI,Slovenia,12935391.0,17152645.0,2141093.0,3866727.0,36095856.0
2017,SK,Slovakia,22508907.0,37285540.0,6378298.0,12758220.0,78930965.0
2018,AT,Austria,56576728.0,81048832.0,12764334.0,20756612.0,171146506.0
2018,BE,Belgium,51864097.0,61998295.0,5531633.0,9004012.0,128398037.0
2018,BG,Bulgaria,11672419.0,19555834.0,786857.0,7224484.0,39239594.0
2018,CH,Switzerland,55046160.0,81620981.0,6092578.0,21043724.0,163803443.0
2018,CY,Cyprus,8792569.0,10970475.0,1009595.0,1364391.0,22137030.0
2018,CZ,Czechia,81483588.0,132699301.0,5577315.0,47932100.0,267692304.0
2018,DE,Germany,569558312.0,902833206.0,168683239.0,292643256.0,1933718013.0
2018,DK,Denmark,37653801.0,61051169.0,14449115.0,21193819.0,134347904.0
2018,EE,Estonia,13036928.0,22081373.0,3767441.0,8401277.0,47287019.0
2018,EL,Greece,18320044.0,25273544.0,987036.0,5554141.0,50134765.0
2018,ES,Spain,326746314.0,586646320.0,34514374.0,226581467.0,1174488475.0
2018,FI,Finland,70241500.0,132375880.0,22030908.0,54496184.0,279144472.0
2018,FR,France,379730778.0,784459656.0,96459992.0,340662568.0,1601312994.0
2018,HR,Croatia,10150439.0,17326543.0,3693947.0,5309343.0,36480272.0
2018,HU,Hungary,42211736.0,74237440.0,2681528.0,30458468.0,149589172.0
2018,IE,Ireland,33940386.0,58482095.0,5281122.0,17319628.0,115023231.0
2018,IT,Italy,163453573.0,237351406.0,35393536.0,67531692.0,503730207.0
2018,LT,Lithuania,8510053.0,16271397.0,3269112.0,5915346.0,33965908.0
2018,LU,Luxembourg,5325931.0,8275802.0,1923604.0,2630976.0,18156313.0
2018,LV,Latvia,7106527.0,14891554.0,909891.0,7084108.0,29992080.0
2018,MT,Malta,2733406.0,3010880.0,485577.0,173347.0,6403210.0
2018,NL,Netherlands,115624471.0,164039592.0,13708118.0,45651529.0,339023710.0
2018,NO,Norway,52562838.0,88947084.0,19388544.0,21990113.0,182888579.0
2018,PL,Poland,108013245.0,230421050.0,11511580.0,108022512.0,457968387.0
2018,PT,Portugal,33118736.0,66157933.0,7034152.0,30108245.0,136419066.0
2018,RO,Romania,33934979.0,71327395.0,2272583.0,35304344.0,142839301.0
2018,RS,Serbia,3415305.0,6193901.0,1534032.0,2158980.0,13302218.0
2018,SE,Sweden,78103207.0,179481894.0,38682722.0,93685878.0,389953701.0
2018,SI,Slovenia,14892861.0,18300371.0,2442109.0,2862953.0,38498294.0
2018,SK,Slovakia,24434904.0,42961351.0,6650481.0,16567275.0,90614011.0
2019,AL,Albania,7417873.0,20353227.0,1049188.0,11599769.0,40420057.0
2019,AT,Austria,58260261.0,84830104.0,14519575.0,22624535.0,180234475.0
2019,BE,Belgium,53945179.0,67361298.0,5869598.0,10698536.0,137874611.0
2019,BG,Bulgaria,11906186.0,18954392.0,805847.0,6262281.0,37928706.0
2019,CH,Switzerland,49863204.0,73972678.0,5914995.0,17922578.0,147673455.0
2019,CY,Cyprus,8975228.0,11506899.0,1296628.0,1752505.0,23531260.0
2019,CZ,Czechia,83149612.0,133939977.0,5354796.0,46726231.0,269170616.0
2019,DE,Germany,538097047.0,878338140.0,163733403.0,302660731.0,1882829321.0
2019,DK,Denmark,63067257.0,104075304.0,14866200.0,36869481.0,218878242.0
2019,EE,Estonia,10400904.0,17506615.0,3221142.0,6326851.0,37455512.0
2019,EL,Greece,16313626.0,23125285.0,1566895.0,5522300.0,46528106.0
2019,ES,Spain,327015612.0,582853592.0,34412840.0,218024795.0,1162306839.0
2019,FI,Finland,67239777.0,132331372.0,22549352.0,56821232.0,278941733.0
2019,FR,France,376988511.0,773418403.0,92854205.0,336764957.0,1580026076.0
2019,HR,Croatia,11551776.0,20503544.0,3349276.0,6707848.0,42112444.0
2019,HU,Hungary,44332792.0,76205624.0,2988838.0,29626904.0,153154158.0
2019,IE,Ireland,36679919.0,62756902.0,5753739.0,17857703.0,123048263.0
2019,IT,Italy,152972446.0,218155728.0,31150129.0,59651472.0,461929775.0
2019,LT,Lithuania,8926226.0,17196560.0,3500320.0,6284668.0,35907774.0
2019,LU,Luxembourg,5283242.0,8281049.0,2040577.0,2595410.0,18200278.0
2019,LV,Latvia,5826644.0,14914060.0,941298.0,8099513.0,29781515.0
2019,MK,North Macedonia,1438083.0,2136918.0,36636.0,632364.0,4244001.0
2019,MT,Malta,2849864.0,3141811.0,493454.0,180811.0,6665940.0
2019,NL,Netherlands,126661432.0,170333386.0,15753453.0,41060772.0,353809043.0
2019,PL,Poland,115317629.0,242498642.0,11752526.0,112522523.0,482091320.0
2019,PT,Portugal,39726908.0,74305821.0,7651157.0,30584419.0,152268305.0
2019,RO,Romania,36990461.0,75007610.0,2473554.0,35264069.0,149735694.0
2019,SE,Sweden,76390529.0,179708216.0,39854848.0,93682340.0,389635933.0
2019,SI,Slovenia,13529129.0,17220087.0,2408518.0,3168573.0,36326307.0
2019,SK,Slovakia,27921299.0,48213536.0,7042327.0,17678741.0,100855903.0
2020,AL,Albania,6544860.0,12680229.0,149372.0,5014488.0,24388949.0
2020,AT,Austria,30577912.0,50614118.0,6793552.0,17660371.0,105645953.0
2020,BE,Belgium,27656492.0,34889464.0,1981441.0,5746414.0,70273811.0
2020,BG,Bulgaria,6416780.0,9647817.0,262035.0,3001399.0,19328031.0
2020,CH,Switzerland,36146794.0,51643297.0,1381670.0,12106924.0,101278685.0
2020,CY,Cyprus,6522479.0,8292152.0,362326.0,1153889.0,16330846.0
2020,CZ,Czechia,58177893.0,90543702.0,1709017.0,31090748.0,181521360.0
2020,DE,Germany,260541872.0,505455544.0,79194108.0,228314794.0,1073506318.0
2020,DK,Denmark,46594921.0,78019547.0,1369344.0,29117189.0,155101001.0
2020,EE,Estonia,6145671.0,9465748.0,1321835.0,3028207.0,19961461.0
2020,EL,Greece,14338323.0,18415991.0,655000.0,3142951.0,36552265.0
2020,ES,Spain,157362916.0,304411907.0,11844648.0,126504824.0,600124295.0
2020,FI,Finland,53012830.0,93345597.0,9337371.0,33307926.0,189003724.0
2020,FR,France,266161128.0,591952845.0,61733982.0,266998223.0,1186846178.0
2020,HR,Croatia,6147757.0,11148245.0,865228.0,3848230.0,22009460.0
2020,HU,Hungary,23737016.0,38760808.0,1642754.0,14032848.0,78173426.0
2020,IE,Ireland,17606328.0,30595297.0,1921184.0,9564048.0,59686857.0
2020,IT,Italy,85051556.0,119077627.0,9674734.0,31160996.0,244964913.0
2020,LT,Lithuania,5423520.0,10549956.0,1928355.0,3572904.0,21474735.0
2020,LU,Luxembourg,2922180.0,5554773.0,836252.0,2321917.0,11635122.0
2020,LV,Latvia,3406342.0,6840479.0,226953.0,2917586.0,13391360.0
2020,MK,North Macedonia,879476.0,1155864.0,0.0,251706.0,2287046.0
2020,MT,Malta,1638512.0,2002114.0,274328.0,299216.0,4214170.0
2020,NL,Netherlands,76653626.0,106470140.0,7291364.0,28992082.0,219407212.0
2020,PL,Poland,83346130.0,171040085.0,7989832.0,80112884.0,342488931.0
2020,PT,Portugal,26377024.0,45875516.0,3852176.0,16773884.0,92878600.0
2020,RO,Romania,20662142.0,45636114.0,888480.0,24171262.0,91357998.0
2020,SE,Sweden,80720259.0,190730768.0,25491373.0,85256972.0,382199372.0
2020,SI,Slovenia,7966833.0,9011704.0,552526.0,808513.0,18339576.0
2020,SK,Slovakia,11439084.0,19979105.0,908502.0,7658281.0,39984972.0
2021,AT,Austria,39325402.0,64572727.0,8516542.0,21655527.0,134070198.0
2021,BE,Belgium,38319997.0,48145924.0,2296395.0,7941494.0,96703810.0
2021,BG,Bulgaria,8216969.0,12247034.0,235297.0,3589380.0,24288680.0
2021,CH,Switzerland,37641388.0,53758132.0,1701076.0,12392393.0,105492989.0
2021,CY,Cyprus,7732683.0,8996010.0,324331.0,866402.0,17919426.0
2021,CZ,Czechia,65162496.0,101663541.0,2091057.0,34978208.0,203895302.0
2021,DE,Germany,318138803.0,626124668.0,86508489.0,286951047.0,1317723007.0
2021,DK,Denmark,36463136.0,59416004.0,5616776.0,21537013.0,123032929.0
2021,EE,Estonia,6761602.0,9996860.0,1337225.0,2892171.0,20987858.0
2021,EL,Greece,16007757.0,20212711.0,603268.0,3272700.0,40096436.0
2021,ES,Spain,228735788.0,436118276.0,18916921.0,174957257.0,858728242.0
2021,FI,Finland,59910863.0,116987621.0,7722528.0,49656015.0,234277027.0
2021,FR,France,314903930.0,727084717.0,74259138.0,335043280.0,1451291065.0
2021,HR,Croatia,8513917.0,14213300.0,1454653.0,4297405.0,28479275.0
2021,HU,Hungary,25289328.0,43331548.0,1850615.0,16959372.0,87430863.0
2021,IE,Ireland,13774694.0,24509951.0,1204685.0,8041628.0,47530958.0
2021,IT,Italy,97092344.0,133771027.0,11664096.0,34774223.0,277301690.0
2021,LT,Lithuania,7495512.0,13371269.0,2308450.0,3991144.0,27166375.0
2021,LU,Luxembourg,3848296.0,7138749.0,715229.0,2979977.0,14682251.0
2021,LV,Latvia,6348534.0,11159724.0,425718.0,4025476.0,21959452.0
2021,MK,North Macedonia,1465433.0,1846656.0,0.0,343098.0,3655187.0
2021,MT,Malta,1946135.0,2396970.0,286770.0,350872.0,4980747.0
2021,NL,Netherlands,122933872.0,165321629.0,5401827.0,38579639.0,332236967.0
2021,NO,Norway,51587988.0,80926300.0,9766096.0,20329366.0,162609750.0
2021,PL,Poland,98220688.0,203196663.0,9164806.0,95742720.0,406324877.0
2021,PT,Portugal,30658201.0,54626837.0,3813562.0,20740099.0,109838699.0
2021,RO,Romania,34311123.0,67827644.0,1561956.0,32158586.0,135859309.0
2021,SE,Sweden,84009308.0,201611640.0,26197085.0,93847935.0,405665968.0
2021,SI,Slovenia,13603136.0,19850362.0,1652300.0,5871903.0,40977701.0
2021,SK,Slovakia,12498807.0,23706544.0,1460467.0,9058688.0,46724506.0
2022,AT,Austria,58547516.0,88916588.0,12252437.0,24590232.0,184306773.0
2022,BE,Belgium,54821465.0,67737466.0,4711886.0,10791097.0,138061914.0
2022,BG,Bulgaria,11596920.0,16562825.0,610727.0,4343976.0,33114448.0
2022,CY,Cyprus,8101068.0,10922457.0,746983.0,2069984.0,21840492.0
2022,CZ,Czechia,80521267.0,128345552.0,3480366.0,44848799.0,257195984.0
2022,DE,Germany,500356320.0,766781931.0,119984959.0,238351408.0,1625474618.0
2022,EE,Estonia,9052281.0,13349234.0,1659998.0,3735947.0,27797460.0
2022,EL,Greece,19700976.0,26611232.0,1106527.0,5489068.0,52907803.0
2022,ES,Spain,297241772.0,526605520.0,26160847.0,192832506.0,1042840645.0
2022,FI,Finland,68035588.0,119021384.0,14154079.0,42774658.0,243985709.0
2022,FR,France,394861699.0,824678284.0,92384452.0,348637267.0,1660561702.0
2022,HR,Croatia,10242559.0,16168823.0,1829440.0,5029224.0,33270046.0
2022,HU,Hungary,38458100.0,61190176.0,3308694.0,20895804.0,123852774.0
2022,IE,Ireland,39212402.0,67847037.0,4062512.0,21027831.0,132149782.0
2022,IT,Italy,124815704.0,174272402.0,15085409.0,45913246.0,360086761.0
2022,LT,Lithuania,10627426.0,18548499.0,3509244.0,5777767.0,38462936.0
2022,LU,Luxembourg,6363945.0,10652285.0,1266106.0,3811616.0,22093952.0
2022,LV,Latvia,7890706.0,15759911.0,751430.0,6889607.0,31291654.0
2022,MT,Malta,3095617.0,3463347.0,284914.0,278770.0,7122648.0
2022,NL,Netherlands,126094004.0,167959199.0,10582987.0,24227277.0,328863467.0
2022,PL,Poland,123175908.0,241876758.0,11896990.0,106587762.0,483537418.0
2022,PT,Portugal,38487942.0,69859834.0,6199439.0,27537882.0,142085097.0
2022,RO,Romania,37888048.0,71517873.0,1642552.0,32168947.0,143217420.0
2022,SE,Sweden,112479272.0,260888993.0,49789655.0,123124350.0,546282270.0
2022,SI,Slovenia,15045304.0,21650933.0,2064517.0,6111444.0,44872198.0
2022,SK,Slovakia,21689409.0,39040962.0,2664611.0,13882424.0,77277406.0
